4,99	4,99	2,33	8,32	54,17
5,22	5,55	2,42	10,42	48,64
3,42	5,03	2,19	12,44	45,67
4,52	3,90	2,77	10,97	50,51
4,31	4,90	2,05	10,11	52,62
3,24	3,78	3,60	10,99	51,82
3,99	3,56	2,94	10,82	52,16
4,03	2,79	3,52	10,21	54,02
5,82	4,32	1,69	10,82	46,11
4,66	3,98	2,21	9,91	53,07
4,47	4,61	2,11	13,96	37,68
3,75	5,07	2,41	12,90	43,46
3,52	5,17	4,03	10,04	52,99
4,81	4,69	3,63	9,58	52,58
5,05	5,36	3,32	12,68	41,28
3,17	4,01	1,86	10,18	54,21
3,44	2,50	2,11	12,34	47,82
5,16	4,34	2,95	10,55	49,52
4,50	3,83	3,03	12,44	45,18
5,23	5,56	3,57	8,19	52,70
4,76	4,00	2,02	10,58	51,04
5,05	5,40	3,75	10,91	47,63
4,40	4,98	3,17	10,57	50,99
3,37	3,91	1,66	13,19	43,34
4,69	4,18	2,07	10,01	52,62
4,00	4,48	2,15	14,31	36,72
4,04	2,23	3,01	12,61	46,06
3,54	4,03	3,07	13,01	43,93
4,72	3,17	2,05	8,15	56,45
4,43	3,53	3,49	8,02	56,92
3,94	5,84	3,16	13,07	41,44
4,95	2,52	2,24	13,83	38,18
2,42	2,86	2,91	9,18	56,45
4,78	4,80	2,24	12,51	43,53
2,32	4,18	1,80	14,66	34,73
4,59	3,06	2,90	14,17	37,16
3,72	3,46	2,84	13,86	40,10
